restaurant_id,restaurant_name,cuisine_type,restaurant_address,latitude,longitude,manhattan_region,restaurant_rating,review_count,price
t2h_VDI6kw7c1uHvyV-Grw,Brasserie Saint Marc,American,"'136 2nd Ave, New York, NY 10003'",40.7286485,-73.98720783,Downtown,4.5,50,
qCf1QN11Qdncpqb7PhuyVw,The Rag Trader & Bo Peep Cocktail and Highball Store,American,"'70 W 36th St, New York, NY 10018'",40.75059,-73.98628,Midtown,4.5,449,$$
3kqGCsIwLwhzWvgyFK6yow,Greenwich Sports Tavern Village,American,"'1 7th Ave S, New York, NY 10014'",40.729714,-74.004792,Downtown,4.5,26,
S4Euw4DYSqeU4KcteFXqHg,Little Beet Table,American,"'333 Park Ave S, New York, NY 10010'",40.741086,-73.985333,Midtown,4.0,539,$$
xEF3Kvd0yw74pjnlFB2Sgg,Nobody Told Me,American,"'951 Amsterdam Ave, New York, NY 10025'",40.80076,-73.96507,Uptown,4.5,104,$$
Me4TxTbPPQZQopW1wOGx5g,Jack's Wife Freda,American,"'224 Lafayette St, New York, NY 10012'",40.72213,-73.99756,Downtown,4.0,1911,$$
63nYipWuA42RZmESBMUNkQ,The Bluebell Cafe,American,"'293 3rd Ave, New York, NY 10010'",40.73845,-73.98321,Midtown,4.0,620,$$
4PeBRQZgHMW80J5YIaT39A,The Loyal,American,"'289 Bleecker St, New York, NY 10014'",40.7321627859791,-74.0033025943349,Downtown,4.0,208,$$
ePqKbqXFBCbwBaWiN2Jo9w,Ampersand,American,"'294 3rd Ave, New York, NY 10010'",40.7386178790617,-73.9834206895483,Midtown,4.5,216,$$
vGS5X12NYXCl8NpynlxRuw,Oscar Wilde,American,"'45 W 27th St, New York, NY 10001'",40.74514,-73.9900399,Midtown,4.0,682,$$
kMxXLrASxsbmS-ZzAaBe-A,Molly's,American,"'287 3rd Ave, New York, NY 10010'",40.73825,-73.98321,Midtown,4.0,516,$$
jh42MR1OQFAFMhe_pQEzmw,Rustic Table,American,"'504 W 42nd St, New York, NY 10036'",40.759624,-73.9958265,Midtown,4.0,856,$$
